Epoch,relu_triple-1024
1,0.08187979459762573
2,0.08052769303321838
3,0.06955058872699738
4,0.06339336186647415
5,0.07362383604049683
6,0.0559023916721344
7,0.059629008173942566
8,0.056150950491428375
9,0.050800248980522156
10,0.054523542523384094
11,0.05478883162140846
12,0.05056114122271538
13,0.04873776435852051
14,0.05038278549909592
15,0.04920339956879616
16,0.0507044792175293
17,0.04751840978860855
18,0.07932157069444656
19,0.05334610864520073
20,0.06134353578090668
21,0.050446413457393646
22,0.04603816941380501
23,0.04284222424030304
24,0.05093441531062126
25,0.04584400728344917
26,0.04307181015610695
27,0.04362638294696808
28,0.04729868099093437
29,0.04210055246949196
30,0.03994255140423775
31,0.05992696434259415
32,0.040434736758470535
33,0.05623062700033188
34,0.05163002386689186
35,0.04358356073498726
36,0.0369131863117218
37,0.042120665311813354
38,0.039577897638082504
39,0.04498183727264404
40,0.037638984620571136
41,0.041365548968315125
42,0.041355639696121216
43,0.03589214012026787
44,0.04388287663459778
45,0.03714864328503609
46,0.037501029670238495
47,0.03664959967136383
48,0.05639197304844856
49,0.04131746292114258
50,0.041243184357881546
51,0.041732680052518845
52,0.05652569606900215
53,0.04347178339958191
